predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
auc,0.624,0.624,0.78,0.78,0.707,0.707
metric,fpr,tpr,fpr,tpr,fpr,tpr
0.461,,,0.314,0.744,0.026,0.043
0.46,0.0,0.0,0.316,0.745,0.026,0.044
0.459,,,0.317,0.747,0.027,0.045
0.458,,,0.319,0.749,0.027,0.046
0.457,,,0.32,0.75,0.027,0.047
0.456,0.0,0.0,0.322,0.752,0.028,0.048
0.455,,,0.324,0.753,0.028,0.049
0.454,,,0.325,0.755,0.029,0.049
0.453,,,0.327,0.756,0.029,0.051
0.452,0.0,0.0,0.329,0.758,0.03,0.052
0.451,,,0.33,0.759,0.03,0.053
0.45,,,0.332,0.761,0.031,0.054
0.449,,,0.333,0.762,0.031,0.055
0.448,0.0,0.0,0.335,0.763,0.031,0.056
0.447,,,0.337,0.765,0.032,0.057
0.446,,,0.339,0.766,0.032,0.058
0.445,0.0,0.0,0.34,0.767,0.033,0.059
0.444,,,0.342,0.769,0.033,0.061
0.443,,,0.343,0.77,0.034,0.062
0.442,,,0.345,0.771,0.034,0.063
0.441,,,0.347,0.773,0.035,0.065
0.44,0.0,0.0,0.348,0.774,0.035,0.066
0.439,0.0,0.0,0.35,0.776,0.036,0.067
0.438,,,0.351,0.777,0.036,0.069
0.437,,,0.353,0.778,0.037,0.07
0.436,0.0,0.0,0.354,0.779,0.037,0.072
0.435,0.0,0.0,0.356,0.781,0.038,0.073
0.434,,,0.357,0.782,0.038,0.075
0.433,,,0.359,0.784,0.039,0.076
0.432,,,0.36,0.785,0.039,0.077
0.431,,,0.362,0.786,0.04,0.079
0.43,,,0.364,0.787,0.041,0.08
0.429,,,0.365,0.788,0.041,0.082
0.428,,,0.367,0.789,0.042,0.083
0.427,0.0,0.0,0.368,0.791,0.042,0.085
0.426,,,0.37,0.792,0.043,0.087
0.425,0.0,0.0,0.371,0.793,0.043,0.088
0.424,0.0,0.0,0.373,0.795,0.044,0.09
0.423,0.0,0.0,0.375,0.796,0.045,0.091
0.422,,,0.376,0.797,0.045,0.093
0.421,0.0,0.0,0.378,0.798,0.046,0.095
0.42,,,0.379,0.8,0.046,0.097
0.419,,,0.38,0.801,0.047,0.099
0.418,0.0,0.0,0.382,0.802,0.048,0.1
0.417,0.0,0.0,0.383,0.803,0.048,0.102
0.416,0.0,0.0,0.385,0.805,0.049,0.104
0.415,0.0,0.0,0.386,0.806,0.05,0.106
0.414,0.0,0.0,0.388,0.807,0.05,0.108
0.413,0.0,0.0,0.39,0.808,0.051,0.109
0.412,,,0.391,0.809,0.052,0.111
0.411,0.0,0.0,0.392,0.81,0.053,0.113
0.41,,,0.394,0.811,0.053,0.115
0.409,0.0,0.0,0.395,0.812,0.054,0.117
0.408,,,0.397,0.813,0.055,0.12
0.407,,,0.398,0.814,0.055,0.121
0.406,0.0,0.0,0.399,0.815,0.056,0.124
0.405,0.0,0.0,0.401,0.816,0.057,0.126
0.404,0.0,0.0,0.402,0.816,0.058,0.128
0.403,,,0.403,0.817,0.058,0.13
0.402,0.0,0.0,0.405,0.818,0.059,0.132
0.401,,,0.406,0.819,0.06,0.134
0.4,,,0.407,0.82,0.061,0.136
0.399,0.0,0.0,0.409,0.821,0.062,0.138
0.398,,,0.41,0.822,0.062,0.141
0.397,,,0.411,0.823,0.063,0.143
0.396,0.0,0.0,0.413,0.824,0.064,0.145
0.395,,,0.414,0.825,0.065,0.147
0.394,0.0,0.0,0.415,0.826,0.066,0.149
0.393,,,0.417,0.827,0.067,0.152
0.392,0.0,0.0,0.418,0.828,0.068,0.154
0.391,0.0,0.0,0.419,0.829,0.069,0.157
0.39,,,0.42,0.83,0.069,0.159
0.389,0.0,0.0,0.422,0.83,0.07,0.162
0.388,0.0,0.0,0.423,0.832,0.071,0.164
0.387,0.0,0.0,0.424,0.832,0.072,0.167
0.386,0.0,0.0,0.426,0.833,0.073,0.169
0.385,0.0,0.0,0.427,0.834,0.074,0.171
0.384,0.0,0.0,0.428,0.836,0.075,0.173
0.383,0.0,0.0,0.43,0.836,0.076,0.176
0.382,0.0,0.0,0.431,0.837,0.077,0.179
0.381,0.0,0.0,0.432,0.838,0.078,0.182
0.38,0.0,0.0,0.433,0.839,0.079,0.184
0.379,0.0,0.0,0.434,0.84,0.08,0.187
0.378,0.0,0.0,0.436,0.841,0.081,0.19
0.377,0.0,0.0,0.437,0.842,0.082,0.192
0.376,0.0,0.0,0.438,0.843,0.083,0.195
0.375,0.0,0.0,0.439,0.844,0.084,0.198
0.374,0.0,0.0,0.44,0.845,0.085,0.201
0.373,0.0,0.0,0.442,0.846,0.086,0.204
0.372,0.0,0.0,0.443,0.847,0.087,0.206
0.371,0.0,0.0,0.444,0.847,0.088,0.209
0.37,0.0,0.0,0.446,0.848,0.089,0.211
0.369,0.0,0.0,0.447,0.849,0.09,0.214
0.368,0.0,0.0,0.448,0.85,0.092,0.217
