predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
0.343,0.0,0.077,0.871,0.262,0.293,0.314
0.342,0.0,0.074,0.872,0.262,0.297,0.314
0.341,0.0,0.077,0.873,0.261,0.3,0.314
0.34,0.0,0.076,0.873,0.261,0.303,0.314
0.339,0.0,0.078,0.874,0.261,0.306,0.313
0.338,0.0,0.083,0.875,0.261,0.31,0.314
0.337,0.0,0.082,0.876,0.26,0.313,0.313
0.336,0.0,0.081,0.876,0.26,0.316,0.313
0.335,0.0,0.08,0.877,0.26,0.319,0.313
0.334,0.0,0.082,0.878,0.26,0.323,0.313
0.333,0.0,0.08,0.879,0.259,0.327,0.313
0.332,0.0,0.079,0.88,0.259,0.33,0.313
0.331,0.0,0.082,0.88,0.259,0.334,0.313
0.33,0.0,0.08,0.881,0.259,0.338,0.313
0.329,0.0,0.079,0.882,0.258,0.341,0.313
0.328,0.0,0.084,0.882,0.258,0.345,0.313
0.327,0.0,0.083,0.883,0.258,0.348,0.312
0.326,0.0,0.082,0.883,0.258,0.352,0.312
0.325,0.0,0.084,0.884,0.257,0.355,0.312
0.324,0.0,0.085,0.885,0.257,0.358,0.312
0.323,0.001,0.087,0.885,0.257,0.362,0.311
0.322,0.001,0.087,0.886,0.256,0.366,0.311
0.321,0.001,0.087,0.886,0.256,0.37,0.311
0.32,0.001,0.091,0.887,0.256,0.373,0.311
0.319,0.001,0.095,0.887,0.255,0.377,0.311
0.318,0.001,0.098,0.888,0.255,0.381,0.311
0.317,0.001,0.102,0.889,0.255,0.385,0.31
0.316,0.001,0.103,0.889,0.255,0.388,0.31
0.315,0.001,0.108,0.89,0.254,0.392,0.31
0.314,0.001,0.113,0.891,0.254,0.396,0.31
0.313,0.001,0.114,0.891,0.254,0.4,0.309
0.312,0.001,0.112,0.892,0.253,0.404,0.309
0.311,0.001,0.113,0.893,0.253,0.408,0.309
0.31,0.001,0.114,0.893,0.253,0.412,0.309
0.309,0.001,0.123,0.894,0.253,0.416,0.308
0.308,0.001,0.122,0.894,0.252,0.419,0.308
0.307,0.001,0.125,0.895,0.252,0.424,0.308
0.306,0.001,0.13,0.896,0.252,0.427,0.307
0.305,0.001,0.135,0.896,0.252,0.431,0.307
0.304,0.001,0.14,0.897,0.251,0.436,0.306
0.303,0.001,0.144,0.898,0.251,0.44,0.306
0.302,0.001,0.144,0.898,0.251,0.444,0.306
0.301,0.001,0.141,0.899,0.251,0.448,0.306
0.3,0.001,0.142,0.899,0.25,0.452,0.305
0.299,0.001,0.143,0.9,0.25,0.456,0.305
0.298,0.002,0.148,0.9,0.25,0.459,0.305
0.297,0.002,0.148,0.901,0.249,0.463,0.304
0.296,0.002,0.149,0.901,0.249,0.467,0.303
0.295,0.002,0.154,0.902,0.249,0.471,0.303
0.294,0.002,0.155,0.902,0.249,0.475,0.302
0.293,0.002,0.155,0.903,0.248,0.479,0.302
0.292,0.002,0.156,0.904,0.248,0.483,0.301
0.291,0.002,0.155,0.904,0.248,0.486,0.301
0.29,0.002,0.157,0.905,0.248,0.49,0.3
0.289,0.002,0.162,0.906,0.247,0.494,0.3
0.288,0.002,0.163,0.906,0.247,0.498,0.299
0.287,0.002,0.162,0.907,0.247,0.502,0.298
0.286,0.002,0.167,0.907,0.247,0.506,0.298
0.285,0.002,0.169,0.908,0.246,0.51,0.297
0.284,0.002,0.172,0.908,0.246,0.514,0.297
0.283,0.003,0.174,0.909,0.246,0.518,0.296
0.282,0.003,0.178,0.91,0.245,0.522,0.296
0.281,0.003,0.179,0.91,0.245,0.525,0.295
0.28,0.003,0.177,0.911,0.245,0.529,0.294
0.279,0.003,0.178,0.912,0.245,0.533,0.294
0.278,0.003,0.177,0.912,0.244,0.537,0.293
0.277,0.003,0.176,0.913,0.244,0.541,0.293
0.276,0.007,0.242,0.914,0.244,0.545,0.292
0.275,0.008,0.242,0.914,0.244,0.549,0.291
0.274,0.008,0.243,0.915,0.243,0.553,0.291
0.273,0.008,0.243,0.915,0.243,0.556,0.29
0.272,0.008,0.242,0.916,0.243,0.56,0.289
0.271,0.008,0.244,0.916,0.242,0.565,0.289
